                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    145,                 1.4895,                0.74645,                0.91568,                0.95043,                0.85806,                0.90024,                0.47297,                  1.723,                0.87812,                  0.936,               0.005248,               0.005248,               0.005248
                    146,                 1.5363,                0.76412,                0.91612,                0.94409,                0.85047,                0.90063,                0.46955,                 1.7329,                0.86641,                0.93548,               0.005215,               0.005215,               0.005215
                    147,                  1.528,                0.75738,                0.90838,                 0.9294,                0.85437,                0.89431,                0.48074,                 1.6775,                 0.8518,                0.92731,               0.005182,               0.005182,               0.005182
                    148,                 1.5223,                 0.7546,                0.91554,                0.94516,                0.86586,                0.89013,                0.46892,                 1.6841,                0.85213,                0.93037,               0.005149,               0.005149,               0.005149
                    149,                 1.5108,                0.74969,                0.90476,                 0.9216,                0.85569,                0.88566,                0.46619,                 1.7278,                 0.8988,                0.93978,               0.005116,               0.005116,               0.005116
                    150,                 1.5127,                0.74422,                0.91791,                0.94792,                0.85776,                0.89022,                0.46975,                 1.7167,                0.87863,                0.93631,               0.005083,               0.005083,               0.005083
                    151,                 1.5481,                0.76914,                0.91676,                0.94924,                0.85414,                0.89747,                0.47498,                 1.6698,                0.84235,                0.92753,                0.00505,                0.00505,                0.00505
                    152,                 1.5046,                 0.7469,                0.90715,                  0.944,                0.86758,                0.89482,                0.46962,                 1.6543,                0.87255,                0.92448,               0.005017,               0.005017,               0.005017
                    153,                 1.5133,                0.75499,                0.91771,                0.93973,                0.85648,                0.89393,                0.46001,                 1.7141,                0.86395,                0.93522,               0.004984,               0.004984,               0.004984
                    154,                 1.4668,                0.71351,                0.90918,                0.93515,                0.85605,                0.89772,                0.47885,                  1.701,                0.86159,                0.92878,               0.004951,               0.004951,               0.004951
                    155,                 1.4564,                0.70561,                0.91037,                0.94055,                0.86125,                0.89483,                0.47031,                  1.696,                0.84386,                0.93589,               0.004918,               0.004918,               0.004918
                    156,                 1.5061,                0.73492,                0.91033,                0.96012,                0.84715,                0.89853,                0.47577,                 1.6962,                0.85744,                0.93042,               0.004885,               0.004885,               0.004885
                    157,                 1.4767,                0.73392,                0.90194,                0.91931,                0.86774,                0.89531,                0.48068,                 1.7007,                0.85649,                0.92801,               0.004852,               0.004852,               0.004852
